0,0,-0.000467550557771822,-0.00758526905101629
0.001,0,-0.000216182360025808,-0.00293776226744877
0.002,0,0.000276500938974704,0.00595913565811895
0.003,0,-0.000211155811780064,-0.00290128149969506
0.004,0,4.5238934211693e-05,0.00175312518368113
0.005,0,-0.000447444364788847,-0.00712269593767896
0.006,0,4.5238934211693e-05,0.00184865941354318
0.007,0,0.000286554035466192,0.00614784703653726
0.008,0,-0.000457497461280335,-0.00731871534962136
0.009,0,-0.000211155811780064,-0.00276618741437557
0.01,0,-0.000457497461280335,-0.00713928696271077
0.011,0,0.000286554035466192,0.00634491490603237
0.012,0,-0.000201102715288577,-0.00252236595188631
0.013,0,5.02654824574368e-05,0.00203506276574243
0.014,0,-0.000196076167042833,-0.00242345957695508
0.015,0,4.5238934211693e-05,0.00195173665386582
0.016,0,-0.000201102715288577,-0.00250530316885193
0.017,0,-0.000206129263534321,-0.0025509657452557
0.018,0,-0.000447444364788847,-0.00683765808741662
0.019,0,-0.000196076167042833,-0.00220345263479641
0.02,0,5.02654824574368e-05,0.00225806566366621
0.021,0,-0.00043739126829736,-0.00653650286531287
0.022,0,-0.000432364720051616,-0.0063299704511492
0.023,0,-0.000180996522305602,-0.00170479766604812
0.024,0,0.00031168677669491,0.00717016362267498
0.025,0,0.000316713324940654,0.00713283002093208
0.026,0,-0.000417285075314385,-0.00617078420112211
0.027,0,7.53982236861551e-05,0.00278363494443016
0.028,0,-0.000170943425814115,-0.00168820583094353
0.029,0,6.53451271946678e-05,0.00258367254275026
0.03,0,6.03185789489242e-05,0.00244746802218222
0.031,0,-0.000186023070551346,-0.00201839174474715
0.032,0,6.53451271946678e-05,0.0025300703738823
0.033,0,-0.000422311623560129,-0.00626933760348099
0.034,0,-0.000175969974059859,-0.00173547996785594
0.035,0,-0.000422311623560129,-0.00612691763791959
0.036,0,-0.000673679821306143,-0.0105304601913712
0.037,0,-0.000175969974059859,-0.00140823825988433
0.038,0,-0.000412258527068642,-0.00562502537673829
0.039,0,0.000336819517923629,0.00792247146375627
0.04,0,-0.000140784136339653,-0.000792404169625812
0.041,0,-0.000623414338848706,-0.00944246302261631
0.042,0,-0.000372046141102692,-0.00476191344961368
0.043,0,0.000115610609652104,0.00407720299220261
0.044,0,-0.000135757588093909,-0.000507889046390291
0.045,0,0.000110584061406361,0.00392346215510655
0.046,0,-0.000377072689348436,-0.00490073674443917
0.047,0,-0.000125704491602422,-0.000300992573229017
0.048,0,-0.000372046141102692,-0.00471795232965134
0.049,0,-0.000618387790602962,-0.00905632650298076
0.05,0,-0.000372046141102692,-0.0044728833696789
0.051,0,-0.000367019592856949,-0.00430306642277989
0.052,0,-0.000361993044611205,-0.00413627082190327
0.053,0,-0.000346913399873974,-0.00379197004572928
0.054,0,-0.000829543602383027,-0.0123886612779131
0.055,0,-0.000578175404637013,-0.00765569358915491
0.056,0,-0.000326807206890999,-0.0030069338275892
0.057,0,-0.000321780658645255,-0.00286319873470355
0.058,0,-0.000311727562153768,-0.00263178456209564
0.059,0,-0.000548016115162551,-0.0068268026104267
0.06,0,-0.000537963018671064,-0.00652486886351882
0.061,0,-0.000537963018671064,-0.00640877982206928
0.062,0,-0.00053293647042532,-0.00620451982838965
0.063,0,-0.000281568272679306,-0.00158157903336378
0.064,0,-0.000522883373933833,-0.00588551849213828
0.065,0,-0.000512830277442345,-0.00560033186663767
0.066,0,-0.000256435531450588,-0.000897904268745589
0.067,0,-0.000251408983204844,-0.00079169256904931
0.068,0,-0.000492724084459371,-0.00510968551524468
0.069,0,-0.000487697536213627,-0.00492853872368242
0.07,0,-0.000734039185713897,-0.00926316618989225
0.071,0,-0.000975354286968424,-0.0134304365280353
0.072,0,-0.00072398608922241,-0.00867893380160478
0.073,0,-0.000467591343230652,-0.00392173239061229
0.074,0,-0.000457538246739165,-0.00367148501843717
0.075,0,-0.00043743205375619,-0.00324521722664941
0.076,0,-0.000422352409018959,-0.0029167698813898
